iter	Passed	Remaining
0	2	262
1	5	266
2	9	302
3	11	265
4	13	261
5	16	250
6	17	238
7	19	228
8	21	218
9	23	210
10	28	227
11	30	222
12	36	241
13	38	236
14	41	232
15	43	230
16	48	236
17	50	231
18	53	226
19	55	221
20	58	218
21	60	213
22	62	208
23	64	204
24	66	199
25	68	195
26	72	195
27	74	191
28	76	186
29	77	181
30	79	177
31	81	172
32	83	168
33	86	167
34	87	163
35	89	159
36	91	155
37	93	151
38	94	148
39	96	144
40	97	141
41	98	136
42	100	133
43	103	131
44	106	130
45	108	127
46	110	124
47	112	121
48	113	118
49	118	118
50	120	115
51	121	112
52	123	109
53	125	106
54	126	103
55	127	100
56	128	97
57	131	95
58	134	93
59	136	90
60	137	88
61	139	85
62	140	82
63	142	80
64	144	77
65	147	75
66	149	73
67	150	70
68	152	68
69	154	66
70	155	63
71	157	61
72	158	58
73	161	56
74	163	54
75	167	52
76	169	50
77	170	48
78	172	45
79	174	43
80	178	41
81	180	39
82	181	37
83	183	34
84	185	32
85	187	30
86	188	28
87	190	25
88	192	23
89	194	21
90	196	19
91	197	17
92	199	14
93	200	12
94	202	10
95	204	8
96	207	6
97	209	4
98	211	2
99	213	0
